ID	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	authorship	remarks
Lecane-lauterborni	Lecane		lauterborni		Hauer 1924	Zoologischer Anzeiger, 61: p.145, figs.1-3; syntype: SMF GPRot2605 [valid as Lecane lauterborni; name indeclinable]
Lecane-lebedevae	Lecane		lebedevae		Abdullaev 1989	Zoologicheskij Zhurnal, 68: p.127, figs.A,B; holotype: ZMMU 1c 2-26 [junior subjective synonym of Lecane elongata Harring & Myers, 1926; name indeclinable]
Callidina-leitgebii	Callidina		leitgebii		Zelinka 1886	Zeitschrift für wissenschaftliche Zoologie, 44: p.416 (in Z. wiss. Zool., 44); no deposited types known [valid as Habrotrocha leitgebii; name indeclinable]
Polyarthra-leleki	Polyarthra		leleki		Koste & Tobias 1989	Senckenbergiana biologica, 69: p.461, figs.14-15; holotype: SMF GPRot7330 [valid as Polyarthra leleki; name indeclinable]
Platyias-quadricornis-leloupi	Platyias		quadricornis	leloupi	Gillard 1957	Bulletin de l'Institut Royal des Sciences naturelles de Belgique, 3: p.19, pl.4, fig.22; no deposited types known [valid as Platyias leloupi; name indeclinable]
Dicranophorus-lenapensis	Dicranophorus		lenapensis		Myers 1938	American Museum Novitates, 1011: p.9, figs.13,14,19,22; syntypes: AMNH 892, 893 [valid as Dicranophorus lenapensis; name declinable]
Notommata-lenis	Notommata		lenis		Harring & Myers 1922	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 20: p.586, pl.50, figs.9-13; no deposited types known [valid as Notommata lenis; name declinable]
Habrotrocha-lata-lens	Habrotrocha		lata	lens	Donner 1965	in Donner, J, Ordnung Bdelloidea (Rotatoria- Rädertiere): p.77, fig.56d-f; no deposited types known [valid as Habrotrocha lata lens; name indeclinable]
Mniobia-lenta	Mniobia		lenta		Donner 1951	Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere, 79: p.635, fig.22; no deposited types known [valid as Mniobia lenta; name declinable]
Proales-lenta	Proales		lenta		Vlastov 1956	Zoologicheskij Zhurnal, 35: p.668, figs.1-5; no deposited types known [valid as Proales lenta; name declinable]
Ploesoma-lenticulare	Ploesoma		lenticulare		Herrick 1885	Bulletin of the scientific laboratories of Denison University, 1: p.57, fig.3; no deposited types known [type species of genus Ploesoma Herrick, 1885; valid as Ploesoma lenticulare; name declinable]
Cephalodella-gracilis-lenticulata	Cephalodella		gracilis	lenticulata	Wulfert 1938	Beiträge zur Biologie des Glatzer Schneeberges, 4: p.391, fig.167; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Apsilus-lentiformis	Apsilus		lentiformis		Mecznikow 1866	Zeitschrift für wissenschaftliche Zoologie, 16: p.346; no deposited types known [type species of genus Apsilus Mecznikow, 1866 non Cuvier & Valenciennes, 1830; junior subjective synonym of Cupelopagis vorax (Leidy, 1857); name declinable]
Keratella-lenzi	Keratella		lenzi		Hauer 1953	Archiv für Hydrobiologie, 48: p.167, fig.9; syntypes: SMF GPRot4471, GPRot4472, GPRot4473 [valid as Keratella lenzi; name indeclinable]
Cathypna-leontina	Cathypna		leontina		Turner 1892	Bulletin of the scientific laboratories of Denison University, 6: p.61, pl.1, fig.12; no deposited types known [valid as Lecane leontina; name declinable]
Noteus-militaris-leopoldi	Noteus		militaris	leopoldi	Van Oye 1926	Bulletin de la Société Zoologique de France, 51: p.52, figs.6-7; no deposited types known [junior subjective synonym of Plationus patulus (Müller, 1786); name indeclinable]
Metopidia-lepadella	Metopidia		lepadella		Ehrenberg 1832	Abhandlungen der königlichen Akademie der Wissenschaften zu Berlin (für 1831): p.136; no deposited types known [junior subjective synonym of Lepadella ovalis (Müller, 1786); name indeclinable]
Lophocharis-lepadelloides	Lophocharis		lepadelloides		Rodewald 1935	Bulletin du Musée National de Sciences Naturelles de Chișinău-Roumanie, 6: p.26, fig.10; no deposited types known [junior subjective synonym of Lophocharis salpina (Ehrenberg, 1834); name indeclinable]
Callidina-lepida	Callidina		lepida		Murray 1911	Journal of the Royal Microscopical Society, 31: p.168, pl.4, fig.3; no deposited types known [valid as Macrotrachela lepida; name declinable]
Cephalodella-lepida	Cephalodella		lepida		Myers 1934	American Museum Novitates, 699: p.10, fig.10; syntypes: AMNH 537 [valid as Cephalodella lepida; name declinable]
Mytilina-lepidura	Mytilina		lepidura		Bory de St. Vincent 1826	in Bory De Saint Vincent, J B G M M, Essai d'une classification des animaux microscopiques: p.87; no deposited types known [unnecessary substitute name for Brachionus ovalis Müller, 1786; name indeclinable]
Dicranophorus-lepsii	Dicranophorus		lepsii		Rodewald 1935	Bulletin du Musée National de Sciences Naturelles de Chișinău-Roumanie, 6: p.23, fig.7; no deposited types known [junior subjective synonym of Dicranophorus artamus Harring & Myers, 1928; name indeclinable]
Philodina-lepta	Philodina		lepta		Wulfert 1951	Archiv für Hydrobiologie, 44: p.466, fig.13; no deposited types known [valid as Philodina lepta; name declinable]
Streptognatha-lepta	Streptognatha		lepta		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 23: p.748, pl.37, figs.4-6; no deposited types known [type species of genus Streptognatha Harring & Myers, 1928; valid as Streptognatha lepta; name declinable]
Anuraea-cochlearis-leptacantha	Anuraea		cochlearis	leptacantha	Lauterborn 1900	Verhandlungen des naturhistorisch- medizinischen Vereins zu Heidelberg, 6: p.428, figs.24,25; no deposited types known [junior subjective synonym of nominotypical taxon; name indeclinable]
Furcularia-leptodactyla	Furcularia		leptodactyla		Hauer 1921	Mitteilungen des badischen Landesvereins für Naturkunde und Naturschutz in Freiburg i. Br., 1: p.183; no deposited types known [junior subjective synonym of Cephalodella trigona (Rousselet, 1895); name declinable]
Dicranophorus-leptodon	Dicranophorus		leptodon		Wiszniewski 1934	Annales Musei Zoologici Polonici, 10: p.359, pl.59, figs.30-32; no deposited types known [valid as Dicranophorus leptodon; name indeclinable]
Conochilus-leptopus	Conochilus		leptopus		Forbes 1893	Bulletin of the United States Fish Commission, 11 (for 1891): p.256; no deposited types known [junior subjective synonym of Conochilus unicornis Rousselet, 1892; name indeclinable]
Colurus-leptus	Colurus		leptus		Gosse 1887	Journal of the Royal Microscopical Society, 7: p.364, fig.7; no deposited types known [junior subjective synonym of Colurella adriatica Ehrenberg, 1831; name declinable]
Aspelta-lestes	Aspelta		lestes		Harring & Myers 1928	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 23: p.791, pl.47, figs.1-2; no deposited types known [valid as Aspelta lestes; name indeclinable]
Resticula-lestes	Resticula		lestes		Wulfert 1935	Archiv für Hydrobiologie, 28: p.596, fig.12; no deposited types known [valid as Resticula lestes; name indeclinable]
Collotheca-lettevalli	Collotheca		lettevalli		Bērziņš 1976	in Berzins, B, Notes on the Rotifera from Aneboda: p.5, fig.3; no deposited types known [valid as Collotheca lettevalli; name indeclinable]
Lecane-leura	Lecane		leura		Myers 1942	Proceedings of the Academy of Natural Sciences of Philadelphia, 94: p.281, pl.25, fig.5; holotype: ANSP 0974 [valid as Lecane leura; name declinable]
Esechielina-leuwenhoekii	Esechielina		leuwenhoekii		Bory de St. Vincent 1826	in Bory De Saint Vincent, J B G M M, Essai d'une classification des animaux microscopiques: p.77; no deposited types known [junior subjective synonym of Rotaria rotatoria (Pallas, 1766); name indeclinable]
Anuraea-serrulata-levanderi	Anuraea		serrulata	levanderi	Lie-Pettersen 1909	Bergens Museums Aarbog, 15: p.78, pl.2, figs.20,21; no deposited types known [junior subjective synonym of nominotypical taxon; name indeclinable]
Habrotrocha-levis	Habrotrocha		levis		Donner 1951	Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere, 79: p.619, fig.5; no deposited types known [valid as Habrotrocha levis; name declinable]
Cathypna-levistyla	Cathypna		levistyla		Olofsson 1917	Zoologiska Bidrag från Uppsala, 5: p.280, fig.10; no deposited types known [valid as Lecane levistyla; name indeclinable]
Brachionus-leydigii	Brachionus		leydigii		Cohn 1862	Zeitschrift für wissenschaftliche Zoologie, 12: p.215, pl.22, figs.1-3; no deposited types known [valid as Brachionus leydigii; name indeclinable]
Noteus-leydigii	Noteus		leydigii		Haeckel 1900	in Haeckel, E, Kunstformen der Natur: pl.32, fig.7; no deposited types known [junior subjective synonym of Platyias quadricornis (Ehrenberg, 1832); name indeclinable]
Stephanops-leydigii	Stephanops		leydigii		Zacharias 1886	Zeitschrift für wissenschaftliche Zoologie, 43: p.255, pl.11, figs.1,2; no deposited types known [valid as Squatinella leydigii; name indeclinable]
Floscularia-libera	Floscularia		libera		Zacharias 1894	Forschungsberichte aus der Biologischen Station zu Plön, 2: p.83, pl.2, fig.5; no deposited types known [valid as Collotheca libera; name declinable]
Macrotrachela-libera	Macrotrachela		libera		Donner 1949	Österreichische Zoologische Zeitschrift, 2: p.149, fig.27; no deposited types known [valid as Macrotrachela libera; name declinable]
Ptygura-libera	Ptygura		libera		Myers 1934	Journal of the Royal Microscopical Society, 54: p.232, pl.1, fig.1; syntypes: AMNH 193, 656 (deteriorated) [valid as Ptygura libera; name declinable]
Pedalia-libica	Pedalia		libica		Manfredi 1939	Atti della Società italiana di scienze naturali e del Museo civico di storia naturale di Milano, 78: p.100, figs.1-5; no deposited types known [junior subjective synonym of Hexarthra jenkinae (Beauchamp, 1932); name declinable]
Cephalodella-licina	Cephalodella		licina		Wulfert 1961	Archiv für Hydrobiologie, 58: p.82, fig.6; no deposited types known [valid as Cephalodella licina; name declinable]
Cephalodella-licinia	Cephalodella		licinia		Myers 1924	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 21: p.503, pl.34, fig.4; syntype: AMNH 474 (deteriorated) [valid as Cephalodella licinia; name indeclinable]
Collotheca-liepetterseni	Collotheca		liepetterseni		Bērziņš 1951	Arkiv för Zoologi, (ser. 2) 1: p.579; no deposited types known [junior subjective synonym of Collotheca pelagica (Rousselet, 1893); name indeclinable]
Notholca-liepetterseni	Notholca		liepetterseni		Björklund 1972	Sarsia, 51: p.53, fig.14e-h; holotype: ZMBN 53352 [valid as Notholca liepetterseni; name indeclinable]
Rattulus-marinus-liepetterseni	Rattulus		marinus	liepetterseni	Beauchamp 1907	Bulletin de la Société zoologique de France, 32: p.148; no deposited types known [junior subjective synonym of nominotypical taxon; name indeclinable]
Dicranophorus-liepolti	Dicranophorus		liepolti		Donner 1964	Archiv für Hydrobiologie, Supplement, 27/1: p.281, fig.18; neotype: MNHNP AM881 [valid as Encentrum liepolti; name indeclinable]
Cathypna-ligona	Cathypna		ligona		Dunlop 1901	Journal of the Quekett Microscopical Club, (ser. 2) 8: p.29, pl.2, figs.4-6; no deposited types known [valid as Lecane ligona; name indeclinable]
Habrotrocha-ligula	Habrotrocha		ligula		Bryce 1913	Journal of the Quekett Microscopical Club, (ser. 2) 12: p.90, pl.9, fig.2; no deposited types known [valid as Habrotrocha ligula; name indeclinable]
Euchlanis-ligulata	Euchlanis		ligulata		Kutikova & Vassiljeva 1982	Novoje O Faune Bajkala, 1982: p.55, fig.7; holotype: ZIN-RAS, no cat. nr. indicated [valid as Euchlanis ligulata; name declinable]
Macrotrachela-ligulata	Macrotrachela		ligulata		Haigh 1965	Journal of the Quekett Microscopical Club, 30: p.40, fig.4D-H; no deposited types known; permanently invalid: preoccupied by Macrotrachela quadricornifera ligulata Bērziņš, 1950 [requires replacement name; name declinable]
Macrotrachela-nana-ligulata	Macrotrachela		nana	ligulata	Schulte 1954	Zoologische Jahrbücher, Abteilung für Systematik, Geographie und Biologie der Tiere, 82: p.602, fig.26; no deposited types known; permanently invalid: preoccupied by Macrotrachela quadricornifera ligulata Bērziņš, 1950 [requires replacement name; name declinable]
Macrotrachela-quadricornifera-ligulata	Macrotrachela		quadricornifera	ligulata	Bērziņš 1950	Kungliga Fysiografiska Sällskapets i Lund Förhandlingar, 20: p.5, fig.14; no deposited types known [valid as Macrotrachela quadricornifera ligulata; name declinable]
Macrotrachela-ligulifera	Macrotrachela		ligulifera		Bartoš 1947	Věstník Československé společnosti zoologické, 11: p.27, fig.1; no deposited types known [valid as Macrotrachela ligulifera; name declinable]
Encentrum-limicola	Encentrum		limicola		Otto 1936	Kieler Meeresforschungen, 1: p.34, fig.4; no deposited types known [valid as Encentrum limicola; name indeclinable]
Colurella-geophila-limnetica	Colurella		geophila	limnetica	Althaus 1957	Wissenschaftliche Zeitschrift der Martin-Luther- Universität Halle-Wittenberg, 6: p.132, fig.21c,d; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Notholca-labis-limnetica	Notholca		labis	limnetica	Levander 1901	Acta Societatis pro Fauna et Flora Fennica: p.21, fig.2; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Triarthra-longiseta-limnetica	Triarthra		longiseta	limnetica	Zacharias 1893	Forschungsberichte aus der Biologischen Station zu Plön, 1: p.23; no deposited types known [valid as Filinia limnetica; name declinable]
Conochilus-limneticus	Conochilus		limneticus		Stenroos 1898	Acta Societatis pro Fauna et Flora Fennica, 17: p.109, pl.1, figs.18,19; no deposited types known [junior subjective synonym of Conochilus unicornis Rousselet, 1892; name declinable]
Cephalosiphon-limnias	Cephalosiphon		limnias		Ehrenberg 1853	Monatsberichte der Deutschen Akademie der Wissenschaften, Berlin: pp.187,193; no deposited types known [type species of genus Cephalosiphon Ehrenberg, 1853; junior subjective synonym of Limnias melicerta Weisse, 1848; name indeclinable]
Cephalodella-limosa	Cephalodella		limosa		Wulfert 1937	Archiv für Hydrobiologie, 31: p.615, fig.25; no deposited types known [valid as Cephalodella limosa; name declinable]
Paradicranophorus-limosus	Paradicranophorus		limosus		Wiszniewski 1929	Bulletin de l’Académie Polonaise des Sciences et des Lettres, (ser. B), II: p.144, pl.7, figs.6-9; no deposited types known [type species of genus Paradicranophorus Wiszniewski, 1929; junior subjective synonym of Paradicranophorus hudsoni (Glascott, 1893); name declinable]
Cephalodella-lindamayae	Cephalodella		lindamayae		Koste & Shiel 1986	Transactions of the Royal Society of South Australia, 110: p.95, figs.3-4; holotype: SAM-A V4019 [valid as Cephalodella lindamayae; name indeclinable]
Lepadella-lindaui	Lepadella		lindaui		Koste 1981	Osnabrücker naturwissenschaftliche Mitteilungen, 8: p.109, fig.2; holotype: ZMK Rot 75 [valid as Lepadella lindaui; name indeclinable]
Testudinella-patina-lindbergi	Testudinella		patina	lindbergi	Bērziņš 1961	Kungliga Fysiografiska Sällskapets i Lund Förhandlingar, 31: p.12, figs.8-10; no deposited types known [junior subjective synonym of nominotypical taxon; name indeclinable]
Mniobia-lineata	Mniobia		lineata		Rahm 1932	Zoologischer Anzeiger, 98: p.112, microphotos 1-3; no deposited types known [valid as Mniobia lineata; name declinable]
Pleuretra-lineata	Pleuretra		lineata		Donner 1962	Acta Zoologica Academiae Scientiarum Hungaricae, 8: p.324; no deposited types known [valid as Pleuretra lineata; name declinable]
Encentrum-lineatum	Encentrum		lineatum		Tzschaschel 1979	Mikrofauna des Meeresbodens, 71: p.57; no deposited types known [incorrect substitute name for Encentrum elongatum Wiszniewski, 1932 (incorrect attribution, correct: Glascott, 1893) non Harring & Myers, 1928; name declinable]
Brachionus-lineatus	Brachionus		lineatus		Skorikov 1896	Travaux de la Société des Naturalistes de Charkow, 30: p.350, pl.8, fig.26; no deposited types known [junior subjective synonym of Brachionus budapestinensis Daday, 1885; name declinable]
Ptygura-linguata	Ptygura		linguata		Edmondson 1939	Transactions of the American Microscopical Society, 58: p.462 figs.13-17; syntype: PMNH YPM 23324 [valid as Ptygura linguata; name declinable]
Encentrum-linnhei	Encentrum		linnhei		Scott 1974	Zoological Journal of the Linnean Society, 54: p.247, figs.1,2; syntypes: NHM 1973.737.739 [junior subjective synonym of Encentrum bidentatum (Lie- Pettersen, 1905); name indeclinable]
Cephalodella-lipara	Cephalodella		lipara		Myers 1924	Transactions of the Wisconsin Academy of Sciences, Arts and Letters, 21: p.512, pl.36, fig.5; no deposited types known [valid as Cephalodella lipara; name indeclinable]
Distyla-lipara	Distyla		lipara		Gosse 1887	Journal of the Royal Microscopical Society, 7: p.867, pl.15, fig.16; no deposited types known [junior subjective synonym of Lecane flexilis (Gosse, 1886); name indeclinable]
Encentrum-listense	Encentrum		listense		Tzschaschel 1978	Mikrofauna des Meeresbodens, 71: p.26, fig.12; in Koste (1978): p.504, pl.182, figs.1a-c; no deposited types known [valid as Encentrum listense; name declinable]
Proales-litoralis	Proales		litoralis		De Smet 1996	Hydrobiologia, 335: p.203, figs.1-10; holotype: RBINS RIR0080-IG28341 [valid as Proales litoralis; name declinable]
Pleurotrocha-littoralis	Pleurotrocha		littoralis		Levander 1894	Acta Societatis pro Fauna et Flora Fennica, 12: p.28, pl.1, fig.11a,b; no deposited types known [junior subjective synonym of Aspelta pachida (Gosse, 1887); name declinable]
Synchaeta-littoralis	Synchaeta		littoralis		Rousselet 1902	Journal of the Royal Microscopical Society, 22: p.398, pl.7, fig.15; no deposited types known [valid as Synchaeta littoralis; name declinable]
Furcularia-lobata	Furcularia		lobata		Bory de St. Vincent 1827	in Bory De Saint Vincent, J B G M M, Encyclopedie methodique. Histoire naturelle des zoophytes, etc. (2nd part): p.425; no deposited types known [unnecessary substitute name for Vorticella lacinulata Müller, 1786 (junior objective synonym of Cephalodella auriculata (Müller, 1773)); name declinable]
Mniobia-lobata	Mniobia		lobata		Haigh 1967	Journal of the Quekett Microscopical Club, 30: p.225, fig.3L,M; no deposited types known [valid as Mniobia lobata; name declinable]
Mytilina-lobata	Mytilina		lobata		Pourriot 1996	Hydrobiologia, 331: p.48, figs.15,23; holotype: MNHNP M14 [valid as Mytilina lobata; name declinable]
Cathypna-lofuana	Cathypna		lofuana		Murray 1913	Journal of the Royal Microscopical Society, 33: p.551, pl.22, fig.1; syntype: NHM 1917.1.1.904 [junior subjective synonym of Lecane nitida (Murray, 1913); name declinable]
Notops-lofuanus	Notops		lofuanus		Rousselet 1910	Proceedings of the Zoological Society of London: p.795, pl.75, figs-1-3; holotype: NHM 1917.1.1.416 (deteriorated) [type species of genus Sphyrias Harring, 1913; valid as Sphyrias lofuana; name declinable]
Colurella-logima	Colurella		logima		Myers 1934	American Museum Novitates, 700: p.14, fig.12; syntypes: ANSP 0299, AMNH 476 [valid as Paracolurella logima; name declinable]
Habrotrocha-longicalcarata	Habrotrocha		longicalcarata		Bērziņš 1950	Kungliga Fysiografiska Sällskapets i Lund Förhandlingar, 20: p.4, figs.5-10; no deposited types known [valid as Habrotrocha longicalcarata; name declinable]
Monocerca-longicauda	Monocerca		longicauda		Bory de St. Vincent 1826	in Bory De Saint Vincent, J B G M M, Essai d'une classification des animaux microscopiques: p.69; no deposited types known [type species of genus Monocerca Bory de St. Vincent, 1826; unnecessary substitute name for Trichoda rattus Müller, 1786; name indeclinable]
Trichoda-longicauda	Trichoda		longicauda		Müller 1786	in Müller, O F, Animalcula infusoria fluviatilia et marina, quæ detexit, systematice descripsit et ad vivum delineari curavit: p.216, pl.31, figs.8-10; no deposited types known [type species of genus Scaridium Ehrenberg, 1830; valid as Scaridium longicauda; name indeclinable]
Floscularia-longicaudata	Floscularia		longicaudata		Hudson 1883	Journal of the Royal Microscopical Society, 3: p.165, pl.4, fig.2; no deposited types known [junior subjective synonym of Collotheca campanulata (Dobie, 1849); name declinable]
Callidina-longiceps	Callidina		longiceps		Murray 1906	Transactions of the Royal Society of Edinburgh, 45: p.175, pl.3, fig.11; no deposited types known [valid as Habrotrocha longiceps; name indeclinable]
Habrotrocha-longiciliata	Habrotrocha		longiciliata		De Koning 1947	Biologisch Jaarboek (Dodonaea), 14: p.192, pl.3, fig.15, pl.4, fig.15; no deposited types known [junior subjective synonym of Habrotrocha tridens (Milne, 1886); name declinable]
Hexarthra-longicornicula	Hexarthra		longicornicula		Turner 1987	Hydrobiologia, 153: p.171, figs.1-4; holotype: MZUSP 7403 [valid as Hexarthra longicornicula; name indeclinable]
Adineta-longicornis	Adineta		longicornis		Murray 1906	Journal of the Royal Microscopical Society, 26: p.643, pl.18, fig.5; no deposited types known [valid as Adineta longicornis; name declinable]
Oecistes-longicornis	Oecistes		longicornis		Davis 1867	Transactions of the Royal Microscopical Society, London, 15: p.14, pl.1, figs.5-8,10; no deposited types known [valid as Ptygura longicornis; name declinable]
Cephalodella-misgurnus-longidactyla	Cephalodella		misgurnus	longidactyla	Varga 1953	in Szekessy, V, Bátorliget élővilága: p.125, fig.8; no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
Lecane-longidactyla	Lecane		longidactyla		Arora 1965	Hydrobiologia, 26: p.452, fig.5; holotype: CPHERI, no cat. nr. indicated [junior subjective synonym of Lecane curvicornis (Murray, 1913); name declinable]
Lecane-crepida-longidactyla	Lecane		crepida	longidactyla	Koste 1972	Amazoniana, 3: p.384, pl.25, fig.1; no deposited types known; permanently invalid: preoccupied by Lecane longidactyla Arora, 1965 [junior subjective synonym of nominotypical taxon; name declinable]
Proales-longidactyla	Proales		longidactyla		Edmondson 1948	Transactions of the American Microscopical Society, 67: p.150, figs.8-13; holotype: AMNH 1203 [preoccupied as Lecane longidactyla (Edmondson) non Arora, 1965; junior subjective synonym of Lecane clara (Bryce, 1892); name declinable]
Dicranophorus-longidactylum	Dicranophorus		longidactylum		Wulfert 1936	Archiv für Hydrobiologie, 30: p.408, fig.4; no deposited types known [junior subjective synonym of Encentrum uncinatum (Milne, 1886); name declinable]
Encentrum-longidens	Encentrum		longidens		Donner 1943	Zoologischer Anzeiger, 143: p.70, fig.6; no deposited types known [valid as Encentrum longidens; name indeclinable]
Floscularia-longilobata	Floscularia		longilobata		Bartsch 1877	Királyi Magyar Természettudományi Társulat megbízásából: p.24, pl.2, fig.14; no deposited types known [junior subjective synonym of Collotheca coronetta (Cubitt, 1869); name declinable]
Notommata-longina	Notommata		longina		Pourriot 1995	in Nogrady, T & R Pourriot, Rotifera: The Notommatidae: p.190; no deposited types known [valid as Notommata longina; name variability unclear]
Pseudoeuchlanis-longipedis	Pseudoeuchlanis		longipedis		Dhanapathi 1978	Zoological Journal of the Linnean Society, 62: p.306, fig.1, pl.1, fig.B; no deposited types known [type species of genus Pseudoeuchlanis Dhanapathi, 1978; valid as Pseudoeuchlanis longipedis; name indeclinable]
Trichotria-longipedis	Trichotria		longipedis		Myers 1942	Proceedings of the Academy of Natural Sciences of Philadelphia, 94: p.279, pl.24, fig.2; syntypes: ANSP 0844 [valid as Trichotria longipedis; name indeclinable]
Brachionus-longipes	Brachionus		longipes		Anderson 1889	Journal of the Asiatic Society of Bengal, 58: p.357, pl.21, fig.12; no deposited types known; permanently invalid: preoccupied by B. longipes Schmarda, 1859 (species inquirenda) [junior subjective synonym of Brachionus quadridentatus Hermann, 1783; name indeclinable]
Dinops-longipes	Dinops		longipes		Rousselet 1891	Journal of the Quekett Microscopical Club, (ser. 2) 4: p.263; no deposited types known [type species of genus Dinops Rousselet, 1891 non Savi, 1825; junior subjective synonym of Harringia eupoda (Gosse, 1887); name indeclinable]
Encentrum-semiplicatum-longipes	Encentrum		semiplicatum	longipes	Wulfert 1936	Archiv für Hydrobiologie, 30: p.431, fig.24; no deposited types known [valid as Encentrum longipes; name indeclinable]
Macrochaetus-longipes	Macrochaetus		longipes		Myers 1934	American Museum Novitates, 700: p.13, fig.11; syntype: AMNH 047 [valid as Macrochaetus longipes; name indeclinable]
Proales-longipes	Proales		longipes		Remane 1929	in Remane, A, Rotatoria: p.151; no deposited types known [junior subjective synonym of Proales theodora (Gosse, 1887); name indeclinable]
Synchaeta-longipes	Synchaeta		longipes		Gosse 1887	Journal of the Royal Microscopical Society, 7: p.5, pl.2, fig.15; no deposited types known [valid as Synchaeta longipes; name indeclinable]
Polyarthra-longiremis	Polyarthra		longiremis		Carlin 1943	Meddelanden Lunds Universitets Limnologiska Institution, 5: p.88, pl.1, fig.3; no deposited types known [valid as Polyarthra longiremis; name declinable]
Callidina-longirostris	Callidina		longirostris		Janson 1893	Abhandlungen des naturwissenschaftlichen Vereins zu Bremen, 12: p.57, pl.3, figs.33,34; no deposited types known [junior subjective synonym of Rotaria sordida (Western, 1893); name declinable]
Encentrum-longirostrum	Encentrum		longirostrum		Tzschaschel 1978	Mikrofauna des Meeresbodens, 71: p.48, fig.21; in Koste (1978): p.500, pl.182, figs.3a-d; no deposited types known [valid as Encentrum longirostrum; name declinable]
Lepadella-longiseta	Lepadella		longiseta		Myers 1934	American Museum Novitates, 760: p.4, figs.7-9; Holotype: AMNH 738 [valid as Lepadella longiseta; name indeclinable]
Triarthra-longiseta	Triarthra		longiseta		Ehrenberg 1834	Physikalische Abhandlungen der Königlichen Akademie der Wissenschaften zu Berlin: p.222, pl.8, fig.1; no deposited types known [valid as Filinia longiseta; name indeclinable]
Vaginaria-longiseta	Vaginaria		longiseta		Schrank 1802	in Schrank, F, Briefe naturhistorischen, physikalischen und ökonomischen Inhalts an Hrn. B.S. Nau: p.383, pl.2, fig.13; no deposited types known [type species of genus Vaginaria Schrank, 1802; valid as Trichocerca longiseta; name indeclinable]
Vorticella-longiseta	Vorticella		longiseta		Müller 1786	in Müller, O F, Animalcula infusoria fluviatilia et marina, quæ detexit, systematice descripsit et ad vivum delineari curavit: p.295, pl.42, figs.9,10; no deposited types known [type species of genus Monommata Bartsch, 1870; valid as Monommata longiseta; name indeclinable]
Macrochaetus-longisetus	Macrochaetus		longisetus		Sudzuki 1991	Proceedings of the Japanese Society of Systematic Zoology, 43: p.21, pl.16, fig.1; holotype: BLND Rot.580103160403 [species inquirenda; name indeclinable]
Anuraea-longispina-1883	Anuraea		longispina		Imhof 1883	Zoologischer Anzeiger, 6: p.470, fig.1; no deposited types known; permanently invalid: preoccupied by Anuraea longispina Kellicott, 1879 [junior subjective synonym of Keratella cochlearis (Gosse, 1851); name indeclinable]
Anuraea-longispina-1879	Anuraea		longispina		Kellicott 1879	The American Journal of Microscopy and Popular Science, New York, 4: p.19, text-fig.; no deposited types known [type species of genus Kellicottia Ahlstrom, 1938; valid as Kellicottia longispina; name indeclinable]
Dinocharis-intermedia-longispina	Dinocharis		intermedia	longispina	Rodewald 1935	Buletinul facultăţii de ştiinţe din Cernăuţi, 7: p.222, fig.17; no deposited types known [junior subjective synonym of Trichotria truncata (Whitelegge, 1889; name indeclinable]
Stephanops-longispinatus	Stephanops		longispinatus		Tatem 1867	Quarterly Journal of Microscopical Science, 7: p.252, pl.10, figs.1-3; no deposited types known [valid as Squatinella longispinata; name declinable]
Platyias-longispinosus	Platyias		longispinosus		Arora 1966	Archiv für Hydrobiologie, 61: p.489, fig.4; no deposited types known [junior subjective synonym of Platyias leloupi Gillard, 1957; name declinable]
Callidina-longistyla	Callidina		longistyla		Murray 1911	Journal of the Royal Microscopical Society, 31: p.169, pl.4, fig.4; no deposited types known [valid as Macrotrachela longistyla; name indeclinable]
Diurella-longistyla	Diurella		longistyla		Olofsson 1918	Zoologiska Bidrag från Uppsala, 6: p.582, fig.38; no deposited types known [valid as Trichocerca longistyla; name indeclinable]
Euchlanis-longobardica	Euchlanis		longobardica		Manfredi 1927	Bollettino di pesca, di piscicoltura e di idrobiologia / Supplemento memorie scientifiche, 1: p.24, fig.7b; no deposited types known [junior subjective synonym of Euchlanis triquetra Ehrenberg, 1838; name declinable]
Habrotrocha-longula	Habrotrocha		longula		Bryce 1915	Journal of the Quekett Microscopical Club, (ser. 2) 12: p.640, pl.39, fig.1; no deposited types known [valid as Habrotrocha longula; name declinable]
Mastigocerca-lophoessa	Mastigocerca		lophoessa		Gosse 1886	in Hudson, C T & P H Gosse, The Rotifera; or wheel- animalcules, both British and foreign: v.2, p.60, pl.20, fig.10; no deposited types known [valid as Trichocerca lophoessa; name indeclinable]
Encentrum-saundersiae-lophosoma	Encentrum		saundersiae	lophosoma	Wulfert 1936	Archiv für Hydrobiologie, 30: p.433, fig.27; no deposited types known [junior subjective synonym of nominotypical taxon; name indeclinable]
