ID	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	authorship	remarks
Ploesoma-africanum	Ploesoma		africanum		Wulfert 1965	Limnologica (Berlin), 3: p.361, figs.12,13; no deposited types known [valid as Ploesoma africanum; name declinable]
Brachionus-africanus	Brachionus		africanus		Segers, Mbogo & Dumont 1994	Zoological Journal of the Linnean Society, 110: p.194, figs.1,2; holotype: RMCA 0823 [valid as Brachionus africanus; name declinable]
Ptygura-agassizi	Ptygura		agassizi		Edmondson 1948	Biological Bulletin, 94: p.264, figs.1-9; holotype: AMNH 1204 [valid as Ptygura agassizi; name indeclinable]
Ascomorpha-agilis	Ascomorpha		agilis		Zacharias 1893	Forschungsberichte aus der Biologischen Station zu Plön, 1: p.22, fig.3; no deposited types known [valid as Ascomorpha agilis; name declinable]
Bryceella-agilis	Bryceella		agilis		Neizvestnova-Zhadina 1935	Archiv für Hydrobiologie, 28: p.559, fig.4; no deposited types known [junior subjective synonym of Bryceella tenella (Bryce, 1897); name declinable]
Distyla-agilis	Distyla		agilis		Bryce 1892	Science Gossip, London, 28: p.273, fig.159; no deposited types known [type species of subgenus Hemimonostyla Bartoš, 1959; valid as Lecane agilis; name declinable]
Trichocerca-agnata	Trichocerca		agnata		Wulfert 1939	Zoologischer Anzeiger, 127: p.73, fig.5; no deposited types known [valid as Trichocerca agnata; name declinable]
Lecane-aguessei	Lecane		aguessei		De Ridder 1960	Verhandelingen van de Koninklijke Vlaamse Academie voor Wetenschappen, 65: p.168, fig.2; holotype: RBINS, no cat. nr. indicated [junior subjective synonym of Lecane punctata (Murray, 1913); name indeclinable]
Brachionus-havanaensis-ahlstromi	Brachionus		havanaensis	ahlstromi	Lindeman 1939	Transactions of the American Microscopical Society, 58: p.213, fig.9; no deposited types known [valid as Brachionus ahlstromi; name indeclinable]
Keratella-ahlstromi	Keratella		ahlstromi		Russell 1951	Records of the Canterbury Museum, 5: p.249, figs.3,4; holotype: CMNZ, no cat. nr. indicated [valid as Keratella ahlstromi; name indeclinable]
Testudinella-ahlstromi	Testudinella		ahlstromi		Hauer 1956	Ergebnisse der deutschen limnologischen Venezuela- Expedition 1952, 1: p.305, fig.22; no deposited types known [valid as Testudinella ahlstromi; name indeclinable]
Keratella-mixta-ahlstromiella	Keratella		mixta	ahlstromiella	Bērziņš 1961	Journal of the Quekett Microscopical Club, (ser. 4) 5: p.437, fig.1 no deposited types known [junior subjective synonym of nominotypical taxon; name declinable]
